"plant","year","treatment","fruit","weight","germination","day"
5,2012,"HCP",3,11,0,122
9,2012,"HSP",2,12.8,0,122
10,2012,"HCP",3,13.5,1,7
7,2012,"HCP",3,13.7,1,4
5,2012,"HCP",3,15.1,0,122
10,2012,"HSP",2,16.3,0,122
4,2012,"HSP",2,16.4,0,122
3,2012,"HCP",3,16.5,1,5
3,2012,"HCP",3,17.4,0,122
5,2012,"HCP",3,17.8,0,122
1,2012,"HCP",3,18.3,0,122
1,2012,"HCP",3,18.7,1,6
10,2012,"HSP",2,18.9,0,122
1,2012,"HCP",3,18.9,0,122
1,2012,"HCP",3,19.5,0,122
11,2012,"HSP",2,19.6,1,7
1,2012,"HSP",2,19.8,1,4
1,2012,"HSP",2,20.1,1,5
11,2012,"HSP",2,20.3,1,6
1,2012,"HCP",3,20.5,0,122
11,2012,"HSP",2,20.6,1,10
1,2012,"HCP",3,20.6,0,122
11,2012,"HSP",2,21.1,1,4
11,2012,"HSP",2,21.1,0,122
10,2012,"HSP",2,21.2,1,6
5,2012,"HCP",3,21.5,0,122
10,2012,"HSP",2,22.3,0,122
11,2012,"HSP",2,22.4,1,7
6,2012,"HSP",2,22.5,1,5
9,2012,"HSP",2,23.9,1,4
3,2012,"HSP",2,24.9,0,122
6,2012,"HSP",2,24.9,0,122
9,2012,"HSP",2,25.1,0,122
3,2012,"HSP",2,25.9,1,4
3,2012,"HSP",2,27.8,1,4
30,2013,"HCP",3,13.1,0,184
25,2013,"HSP",2,14.2,0,184
25,2013,"HSP",2,14.7,1,8
25,2013,"HSP",2,14.7,0,184
31,2013,"HCP",3,16.9,0,184
31,2013,"HSP",2,17,0,184
32,2013,"HSP",2,17.3,0,184
29,2013,"HCP",3,17.9,0,184
18,2013,"HSP",2,18,1,29
31,2013,"HCP",3,18,1,60
29,2013,"HCP",3,18.1,1,59
36,2013,"HSP",2,18.2,1,36
32,2013,"HSP",2,18.3,0,184
28,2013,"HCP",3,18.7,0,184
36,2013,"HSP",2,18.9,0,184
36,2013,"HSP",2,18.9,0,184
29,2013,"HCP",3,18.9,1,52
18,2013,"HSP",2,19,0,184
31,2013,"HCP",3,19,0,184
31,2013,"HCP",3,19,1,64
36,2013,"HSP",2,19.1,1,36
18,2013,"HSP",2,19.2,1,60
29,2013,"HCP",3,19.3,0,184
31,2013,"HSP",2,19.4,0,184
23,2013,"HCP",3,19.4,0,184
36,2013,"HSP",2,19.5,1,36
23,2013,"HCP",3,19.5,1,7
23,2013,"HCP",3,19.6,1,5
37,2013,"HCP",3,19.6,1,64
18,2013,"HSP",2,19.7,0,184
29,2013,"HCP",3,19.7,0,184
23,2013,"HCP",3,19.8,1,5
18,2013,"HSP",2,19.9,0,184
36,2013,"HSP",2,20,1,57
28,2013,"HCP",3,20,0,184
18,2013,"HCP",3,20.1,1,52
31,2013,"HCP",3,20.1,1,96
32,2013,"HSP",2,20.3,0,184
28,2013,"HCP",3,20.3,0,184
18,2013,"HSP",2,20.6,0,184
31,2013,"HSP",2,20.7,0,184
32,2013,"HSP",2,20.7,0,184
31,2013,"HSP",2,20.8,1,59
28,2013,"HCP",3,20.9,0,184
34,2013,"HCP",3,20.9,1,25
38,2013,"HSP",2,21,0,184
28,2013,"HCP",3,21,0,184
18,2013,"HSP",2,21.1,0,184
29,2013,"HCP",3,21.1,1,39
18,2013,"HSP",2,21.4,0,184
27,2013,"HSP",2,21.4,0,184
21,2013,"HSP",2,21.5,0,184
27,2013,"HSP",2,21.5,0,184
31,2013,"HSP",2,21.6,0,184
36,2013,"HCP",3,21.6,1,75
23,2013,"HSP",2,21.7,0,184
32,2013,"HSP",2,21.7,0,184
23,2013,"HSP",2,21.8,1,98
23,2013,"HSP",2,21.8,1,67
27,2013,"HSP",2,21.9,0,184
21,2013,"HSP",2,22,0,184
21,2013,"HSP",2,22,1,21
21,2013,"HSP",2,22.1,1,21
27,2013,"HSP",2,22.1,0,184
34,2013,"HCP",3,22.1,1,27
27,2013,"HSP",2,22.2,0,184
29,2013,"HSP",2,22.2,0,184
34,2013,"HCP",3,22.2,1,23
17,2013,"HSP",2,22.3,0,184
29,2013,"HSP",2,22.3,0,184
23,2013,"HSP",2,22.4,1,7
38,2013,"HSP",2,22.4,0,184
21,2013,"HSP",2,22.5,1,26
29,2013,"HSP",2,22.5,0,184
29,2013,"HSP",2,22.6,0,184
17,2013,"HSP",2,22.7,0,184
34,2013,"HCP",3,22.8,0,184
